Site ID,Site Name,Full Address,ECERS Most Recent Assessment Year,ECERS Observation Average Score
QBIX,"SUNSHINE LEARNING CENTER, INC.",201 02-04 LINDEN BOULEVARD 11412,FY15,4.4
QBJI,THE SALVATION ARMY - THE JAMAICA CITADEL COMMUNITY CENTER,90-23 161ST STREET 11432,FY15,4.4
QBHX,ADVENTURELAND CHILD CARE,32-04 31ST AVE. (2ND FL) 11106,FY15,4.3
KATG,AHRC FRANCIS OF PAOLA EARLY LEARNING CENTER,201 CONSELYEA STREET 11211,FY15,4.3
KCIZ,AL MADINAH SCHOOL SITE 2,2015 64 STREET 11204,FY15,4.3
KBSZ,BE ABOVE 50,87 PUTNAM AVENUE 11238,FY14,4.3
X691,BRONX LITTLE SCHOOL,1827 ARCHER STREET 10460,FY15,4.3
KBSL,CHARLES R DREW ELC 5,2804 GLENWOOD ROAD 11210,FY14,4.3
KBYM,FRIENDS OF CROWN HEIGHTS 26,20 SUTTER AVENUE 11212,FY14,4.3
KBJQ,FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER,921 HEGEMAN AVENUE 11208,FY14,4.3
XASE,FT. GEORGE UNIVERSAL PRE-K,489 ST. PAUL'S PLACE 10456,FY15,4.3
KBQW,GET SET KINDERGARTEN SCHOOL - LINDEN,623 LINDEN BOULEVARD 11203,FY14,4.3
MAQH,GODDARD RIVERSIDE PRESCHOOL @W83RD 2,128 WEST 83RD STREET 10024,FY14,4.3
KBLY,GRAHAM CHILD CARE CENTER,222 GRAHAM AVENUE 11206,FY14,4.3
MAUY,HAMILTON MADISON HOUSE EARLYLEARN CENTER 6,129 FULTON STREET 10038,FY14,4.3
XANX,HIGHBRIDGE ADVISORY COUNCIL MARSHALL ENGLAND ELC,800 CONCOURSE VILLAGE EAST 10451,FY15,4.3
MAYH,HUDSON GUILD,410 WEST 40TH STREET 10018,FY14,4.3
XAMR,IOLA JORDAN DAY CARE,421 EAST 161ST STREET 10451,FY15,4.3
